order_id,customer_name,product,quantity,unit_price,discount,order_date
1,Nadia,Notebook,6,8.75,0,2026-05-02
2,Omar,Lantern,2,31.40,0.10,2026-05-06
3,Priya,Kettle,3,45.60,0,2026-05-09
4,Quentin,Notebook,9,8.75,0,2026-05-13
5,Rosa,Tripod,1,120.00,0.05,2026-05-19
6,Nadia,Lantern,5,31.40,0,2026-06-04
7,Omar,Notebook,7,8.75,0,2026-06-08
8,Priya,Tripod,2,120.00,0.15,2026-06-11
9,Quentin,Kettle,1,45.60,0,2026-06-17
10,Rosa,Notebook,11,8.75,0,2026-06-23
11,Nadia,Kettle,3,45.60,0.10,2026-07-01
12,Omar,Tripod,2,120.00,0,2026-07-07
13,Priya,Lantern,6,31.40,0,2026-07-14
14,Quentin,Tripod,3,120.00,0,2026-07-21
15,Rosa,Kettle,4,45.60,0,2026-07-28
16,Nadia,Notebook,4,8.75,0.20,2026-08-03
17,Omar,Kettle,2,45.60,0,2026-08-09
18,Priya,Notebook,8,8.75,0,2026-08-16
19,Quentin,Lantern,3,31.40,0.10,2026-08-22
20,Rosa,Tripod,1,120.00,0,2026-08-27
