name,email,phone,signup_date,revenue
Greta Lindqvist,greta@brightlane.co,555-0301,2026-11-03,3120.00
Hugo Martins,hugo@brightlane.co,555-0302,12/08/2026,1450.75
Hugo Martins,hugo@brightlane.co,555-0302,12/08/2026,1450.75
Isabel Duarte,isabel@brightlane,555-0303,2026-11-15,690.20
Jonas Weber,jonas@brightlane.co,,01-22-2027,2075.00
Keiko Tanaka,keiko@brightlane.co,555-0305,2027/01/09,1188.40
Lucas Pereira,lucas@brightlane.co,555-0306,2026-12-19,
Mira Haddad,,555-0307,February 2 2027,940.00
Noor Rahimi,noor@brightlane.co,555-0308,2027-02-11,1567.30
Jonas Weber,jonas@brightlane.co,,01-22-2027,2075.00
Otto Berg,otto@brightlane,555-0309,2027-02-20,815.65
Pia Novak,pia@brightlane.co,555-0310,,2240.10
Quinn Doyle,quinn@brightlane.co,555-0311,2027-03-05,1005.00
Greta Lindqvist,greta@brightlane.co,555-0301,2026-11-03,3120.00
Ravi Menon,ravi@brightlane.co,555-0312,03/17/2027,1730.25
