name,email,phone,signup_date,revenue
Adaeze Okafor,adaeze@medipoint.health,555-0401,2027-04-06,880.00
Bruno Salgado,bruno@medipoint,555-0402,2027-04-11,415.50
Camila Rossi,camila@medipoint.health,555-0403,05/09/2027,1240.00
Dmitri Volkov,dmitri@medipoint.health,,06-01-2027,2005.75
Esme Laurent,esme@medipoint.health,555-0405,2027-05-24,
Camila Rossi,camila@medipoint.health,555-0403,05/09/2027,1240.00
Farid Haddadi,,555-0406,June 14 2027,675.20
Gwen Ashby,gwen@medipoint.health,555-0407,2027/06/28,1490.00
Hector Ibarra,hector@medipoint,555-0408,2027-07-02,530.85
Iris Sandoval,iris@medipoint.health,555-0409,2027-07-15,1125.40
Dmitri Volkov,dmitri@medipoint.health,,06-01-2027,2005.75
Jarrah Mills,jarrah@medipoint.health,555-0410,,960.00
Kofi Mensah,kofi@medipoint.health,555-0411,08/03/2027,1815.60
Lucia Ferrer,lucia@medipoint.health,555-0412,2027-08-19,745.25
Adaeze Okafor,adaeze@medipoint.health,555-0401,2027-04-06,880.00
